fight_id,round,opponent_1,opponent_1_power,opponent_1_resistance,opponent_1_ability_to_take_punch,opponent_2,opponent_2_power,opponent_2_resistance,opponent_2_ability_to_take_punch,opponent_1_weight,opponent_2_weight
1,1,Vasyl Lomachenko ,72,73.9,78,Luke Campbell,72,60.5,73,127.11,135.24
1,2,Vasyl Lomachenko ,68.2528863202041,63.93296744342744,76.39435290811966,Luke Campbell,76.80615478149339,54.24616883405102,71.99102062263493,127.11,135.24
1,3,Vasyl Lomachenko ,65.22656072158514,56.00812681485297,73.22259110862218,Luke Campbell,76.47449521979037,57.12563352154857,70.81934879988083,127.11,135.24
1,4,Vasyl Lomachenko ,60.27254841426039,51.13771432214888,67.13291148622322,Luke Campbell,70.56408299719757,59.509864984014726,65.21047188675416,127.11,135.24
1,5,Vasyl Lomachenko ,44.075373391553725,53.901682027693994,58.9220903033518,Luke Campbell,58.03896893915446,55.01341948609166,57.47436806417727,127.11,135.24
1,6,Vasyl Lomachenko ,35.68657652840173,51.5144584834098,53.37866840141777,Luke Campbell,51.57122200368801,48.88036749107157,49.94491977260726,127.11,135.24
1,7,Vasyl Lomachenko ,37.69656810065636,49.46436655892566,42.02045075897129,Luke Campbell,40.49756308126276,40.99809879095342,42.90714587593161,127.11,135.24
1,8,Vasyl Lomachenko ,30.612090608721058,36.99278347087012,34.4529747805086,Luke Campbell,33.834435713098614,32.59456239701984,35.63846486276564,127.11,135.24
1,9,Vasyl Lomachenko ,26.222337207673846,27.447059343972487,27.54600539199999,Luke Campbell,21.41599320346029,18.81861746644707,27.455433003233,127.11,135.24
1,10,Vasyl Lomachenko ,21.506367532504466,19.561183662745798,18.476602557308382,Luke Campbell,15.968555216184393,11.100773626184163,22.661807763761008,127.11,135.24
1,11,Vasyl Lomachenko ,14.977159299469546,11.628330086928987,12.252053443434244,Luke Campbell,10.992722483177472,8.153425107832645,16.637332386975267,127.11,135.24
1,12,Vasyl Lomachenko ,16.27830153682233,9.798968632192432,8.5575924992678,Luke Campbell,9.406471360529153,7.939803912410059,10.08079870106219,127.11,135.24
2,1,Orlando Fiordigiglio ,59,55.4,68,Sam Eggington,59,54.5,66,152.5,148.93
2,2,Orlando Fiordigiglio ,42.75696705245172,38.81694235457336,45.69267420518019,Sam Eggington,40.950451875527534,35.60027855898946,44.83388361958316,152.5,148.93
3,1,Gennady Golovkin ,82,68,84,Sergiy Derevyanchenko,82,63.3,75,159.66,164.04
3,2,Gennady Golovkin ,81.9064538145439,63.81931634842999,80.30572025863066,Sergiy Derevyanchenko,82.72468763906193,57.94362402463375,72.98352427064934,159.66,164.04
3,3,Gennady Golovkin ,75.26700074471721,57.45125589437325,74.66602896539499,Sergiy Derevyanchenko,95.87287272727274,48.41896863863352,72.42471194430917,159.66,164.04
3,4,Gennady Golovkin ,67.87068879961265,52.20582988267404,70.6977924847942,Sergiy Derevyanchenko,90.76230192393103,40.99964938148479,62.186361649689744,159.66,164.04
